1,10,176,0.008
2,50,816,0.009
3,100,1616,0.007
4,1000,16016,0.012
5,10000,160016,0.057
6,100000,1600016,0.384
7,1000000,16000016,4.662
8,10000000,160000016,96.716
9,100000000,1600000016,493.722

10,176,0.002000
20,336,0.004000
50,816,0.002000
100,1616,0.003000
1000,16016,0.009000
10000,160016,0.044000
100000,1600016,0.670000
500000,8000016,2.630000
700000,11200016,5.834000
1000000,16000016,5.386000
5000000,80000016,28.067000
7000000,112000016,41.860000
10000000,160000016,56.942000
100000000,1600000016,502.158000
200000000,3200000016,1087.670000